Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
400,20825,27910,0.746148334,0.793744227,0.940036234,1,3,1
600,23822,30228,0.788077279,0.793744227,0.992860486,1,3,1
600,24172,32390,0.746279716,0.793744227,0.940201756,1,3,1
600,23813,29266,0.813674571,0.793744227,1.025109278,1,3,1
0,19566,22845,0.856467498,0.853519983,1.003453364,1,3,2
0,19719,23268,0.847472924,0.853519983,0.992915153,1,3,2
0,20110,23476,0.856619526,0.853519983,1.003631483,1,3,2
800,20261,23378,0.866669518,0.853519983,1.015406242,1,3,2
800,21481,25239,0.851103451,0.853519983,0.997168746,1,3,2
800,20488,26747,0.765992448,0.853519983,0.8974511,1,3,2
1000,23880,25417,0.939528662,0.853519983,1.100769379,1,3,2
1000,20292,25192,0.805493808,0.853519983,0.943731633,1,3,2
1000,25532,27339,0.933903947,0.853519983,1.094179358,1,3,2
1500,25059,31012,0.808042048,0.853519983,0.9467172,1,3,2
1500,25901,28029,0.924078633,0.853519983,1.082667836,1,3,2
1500,26305,30129,0.873079093,0.853519983,1.02291582,1,3,2
0,20524,25446,0.806570777,0.867257691,0.930024358,2,3,1
0,23508,25393,0.925766944,0.867257691,1.067464669,2,3,1
0,21249,24440,0.869435352,0.867257691,1.002510973,2,3,1
200,19454,24726,0.786783143,0.867257691,0.907208032,2,3,1
200,20183,25735,0.784262677,0.867257691,0.904301784,2,3,1
200,20017,24470,0.818022068,0.867257691,0.943228381,2,3,1
400,19643,29947,0.655925468,0.867257691,0.756321305,2,3,1
400,19569,25085,0.780107634,0.867257691,0.899510771,2,3,1
400,21477,27339,0.785581038,0.867257691,0.905821933,2,3,1
600,21070,28206,0.747004184,0.867257691,0.861340512,2,3,1
600,22025,30597,0.719841815,0.867257691,0.830020676,2,3,1
600,21900,26910,0.813823857,0.867257691,0.938387593,2,3,1
0,20444,23678,0.863417518,0.888436556,0.971839252,2,3,2
0,20337,23778,0.855286399,0.888436556,0.962687086,2,3,2
0,20512,21669,0.94660575,0.888436556,1.065473661,2,3,2
800,21427,25928,0.826403888,0.888436556,0.930177717,2,3,2
800,21526,24970,0.862074489,0.888436556,0.970327576,2,3,2
800,23118,25686,0.900023359,0.888436556,1.01304179,2,3,2
1000,23783,31067,0.765538996,0.888436556,0.861669853,2,3,2
1000,21221,27461,0.772768654,0.888436556,0.869807358,2,3,2
1000,20759,28408,0.730744861,0.888436556,0.822506521,2,3,2
1500,21100,30768,0.685777431,0.888436556,0.771892406,2,3,2
1500,24109,28600,0.842972028,0.888436556,0.948826365,2,3,2
